,Name,Is_slang,Category_1,Category_2
0,You'll do,0,Rejection,
1,Eating my feelings,0,Rejection,
2,How about never?,0,Rejection,
3,You have a great personality,0,Rejection,
4,U have a great personality,1,Rejection,
5,You're the meh of my dreams,0,Rejection,
6,Ur the meh of my dreams,1,Rejection,
7,Dead inside,0,Rejection,
8,Yeah... no.,0,Rejection,
9,Love you,0,Romantic,
10,Love U,1,Romantic,
11,Luv you,1,Romantic,
12,Luv U,1,Romantic,
13,Love,0,Romantic,
14,Luv,1,Romantic,
15,Peace,0,Friendly,
16,Goals,0,Friendly,
17,Nice,0,Friendly,
18,You & me,0,Romantic,Friendly
19,U & me,1,Romantic,Friendly
20,You and me,0,Romantic,Friendly
21,U & me,1,Romantic,Friendly
22,Lol,0,Friendly,Rejection
23,Cutie,0,Romantic,Friendly
24,Dream,0,Romantic,Friendly
25,Only you,0,Romantic,
26,Only U,1,Romantic,
27,Kiss me,0,Romantic,
28,Laugh,0,Romantic,Friendly
29,Hug me,0,Romantic,Friendly
30,You're awesome,0,Romantic,Friendly
31,Ur awesome,1,Romantic,Friendly
32,Real love,0,Romantic,
33,XOXO,1,Romantic,
34,You rock,0,Romantic,Friendly
35,U rock,1,Romantic,Friendly
36,BFF,1,Friendly,
37,TTYL,1,Friendly,Romantic
38,Let's hang,0,Friendly,Romantic
39,Cool,0,Friendly,
40,My love,0,Romantic,
41,My luv,1,Romantic,
42,Bae,1,Romantic,
43,Bestie,1,Friendly,
44,Smile,0,Friendly,
45,Hugs,0,Friendly,
46,Forever,0,Friendly,Romantic
47,Date night,0,Romantic,
48,Date nite,1,Romantic,
49,You're so cool,0,Friendly,Romantic
50,Ur so cool,1,Friendly,Romantic
51,You're great,0,Friendly,Romantic
52,Ur great,1,Friendly,Romantic
53,Super cute,0,Romantic,
54,Be mine,0,Romantic,
55,You're the best,0,Friendly,Romantic
56,Ur the best,1,Friendly,Romantic
57,Youda best,1,Friendly,Romantic
58,Uda best,1,Friendly,Romantic
59,Hugs and kisses,0,Romantic,
60,I love you,0,Romantic,
61,I love U,1,Romantic,
62,I luv you,1,Romantic,
63,I luv U,1,Romantic,
64,Rock star,0,Friendly,
65,Sweet,0,Friendly,
66,Gal pal,0,Friendly,
67,Miss you,0,Friendly,Romantic
68,Miss U,1,Friendly,Romantic
69,GOAT,1,Friendly,
70,Way to go,0,Friendly,
